num,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,class
47,0.094006,0.001362406,0.018666,1003.928571,1514,70275,2
48,0.070772,0.001025681,0.018666,1009.771429,1514,70684,2
49,0.095614,0.00138571,0.02158,998.6,1514,69902,2
50,0.121105,0.001755145,0.02158,962.3428571,1514,67364,2
51,0.089656,0.001299362,0.017115,1029.214286,1514,72045,2
52,0.043652,0.000632638,0.017115,1094.714286,1514,76630,2
53,0.007746,0.000112261,0.001451,1117.714286,1514,78240,2
54,0.012611,0.000182768,0.003635,1037.128571,1514,72599,2
55,0.054993,0.000797,0.01688,995.1857143,1514,69663,2
56,0.0812,0.001176812,0.01688,994.1714286,1514,69592,2
57,0.088087,0.001276623,0.024955,974.7571429,1514,68233,2
58,0.080805,0.001171087,0.024955,947.8714286,1514,66351,2
59,0.07094,0.001028116,0.014064,908.1142857,1514,63568,2
60,0.100314,0.001453826,0.030503,986.0142857,1514,69021,2
61,0.078488,0.001137507,0.018031,1014.785714,1514,71035,2
62,0.149659,0.002168971,0.064081,973.0571429,1514,68114,2
63,0.149377,0.002164884,0.064081,1024.542857,1514,71718,2
64,0.008095,0.000117319,0.00141,1096.857143,1514,76780,2
65,0.048839,0.000707812,0.040225,1117.714286,1514,78240,2
66,0.051383,0.000744681,0.040225,1096.857143,1514,76780,2
67,0.014918,0.000216203,0.005612,1034.285714,1514,72400,2
68,0.028008,0.000405913,0.010415,1040.757143,1514,72853,2
69,0.026548,0.000384754,0.010415,1033.414286,1514,72339,2
70,0.265179,0.003843174,0.084692,649.5857143,1414,45471,5
71,0.125021,0.001811899,0.033817,554.7,1414,38829,5
72,0.087306,0.001265304,0.010667,590.3285714,1414,41323,5
73,0.090787,0.001315754,0.017157,715.0428571,1414,50053,5
74,0.163948,0.002376058,0.035038,749.4428571,1414,52461,5
75,0.204314,0.002961072,0.035038,640.9,1414,44863,5
76,0.173429,0.002513464,0.034012,429.2142857,1414,30045,5
77,0.106899,0.001549261,0.034012,228.2714286,1414,15979,5
78,0.082324,0.001193101,0.044986,290.9714286,1414,20368,5
79,0.08522,0.001235072,0.044986,250.2857143,1414,17520,5
80,0.157424,0.002281507,0.043979,317.6142857,1414,22233,5
81,0.393266,0.005699507,0.059879,673.0428571,1414,47113,5
82,0.925843,0.013418014,0.083426,765.0285714,1414,53552,5
83,1.407754,0.020402232,0.083426,776.5142857,1414,54356,5
84,1.885505,0.027326159,0.092979,805.4571429,1414,56382,5
85,1.592052,0.023073217,0.092979,796.5428571,1514,55758,5
86,0.513021,0.007435087,0.075618,608.2142857,1514,42575,5
87,0.01135,0.000164493,0.00331,267.9857143,1514,18759,5
88,0.009405,0.000136304,0.002684,96.75714286,97,6773,5
89,0.011234,0.000162812,0.004017,96.67142857,97,6767,5
90,0.008252,0.000119594,0.004017,96.64285714,97,6765,5
91,0.048467,0.00070242,0.037823,162.6714286,1107,11387,5
92,0.087517,0.001268362,0.037823,232.2714286,1414,16259,5
93,0.041777,0.000605464,0.02296,147.8714286,1414,10351,5
94,0.001071,1.55E-05,0.000405,60.17142857,66,4212,5
95,0.033964,0.000492232,0.032742,60.6,66,4242,5
96,0.220964,0.003202377,0.040586,369.1428571,1514,25840,5
97,0.585777,0.008489522,0.083327,676.9714286,1514,47388,5
98,0.382481,0.005543203,0.083327,772.6857143,1514,54088,5
99,1.183569,0.017153174,0.400316,818.2285714,1514,57276,5
100,2.264575,0.032819928,0.400316,762.2571429,1514,53358,5
101,2.863928,0.041506203,0.404846,719.9571429,1414,50397,5
102,2.917547,0.04228329,0.404846,776.9285714,1414,54385,5
103,1.622394,0.023512957,0.425948,537.4571429,1414,37622,5
104,0.562499,0.008152159,0.425948,220.6857143,1414,15448,5
105,0.191898,0.00278113,0.036242,307.0142857,1414,21491,5
106,0.260107,0.003769667,0.071996,473.2571429,1414,33128,5
107,0.461574,0.006689478,0.071996,670.9714286,1414,46968,5
108,0.970531,0.014065667,0.082934,783.1571429,1414,54821,5
109,1.202027,0.017420681,0.082934,794,1414,55580,5
110,0.832232,0.012061333,0.05624,870.6857143,1414,60948,5
111,0.794233,0.011510623,0.078248,871.6,1414,61012,5
112,0.838891,0.012157841,0.078248,871.6,1414,61012,5
113,0.793907,0.011505899,0.064672,852.2857143,1414,59660,5
114,0.887564,0.012863246,0.064672,776.1142857,1414,54328,5
115,1.496466,0.021687913,0.288454,758.1142857,1414,53068,5
116,1.643756,0.023822551,0.288454,682.6857143,1414,47788,5
117,0.930295,0.013482536,0.079952,758.2857143,1414,53080,5
118,0.973658,0.014110986,0.080175,833.5428571,1414,58348,5
119,1.58726,0.023003768,0.25014,775.6,1414,54292,5
120,1.913824,0.02773658,0.25014,775.7714286,1414,54304,5
