,mu,sig,mu,sig,mu,sig,class
174,8.4025785e-05,0.99988526,0.00066613033,0.9999684,8.120388e-05,0.99956435,4
175,-0.001250945,0.9998703,-6.089732e-05,1.0005034,0.00022541732,0.9992639,4
176,0.00011533499,0.9998336,0.00040731952,0.99976075,0.00057493895,0.9999354,4
177,0.002095053,0.9987608,-5.1796436e-05,0.9973106,-0.0010814816,0.9990069,4
178,-2.05338e-05,0.99998015,-5.4884702e-05,0.99997884,-2.539903e-05,0.9999827,4
179,-8.884817e-06,0.99996644,0.00022022426,0.999845,0.0007086396,1.0001526,4
180,-0.005125474,0.9993341,-0.006646037,0.9999348,-0.00027421862,1.0009059,4
181,0.0008765906,1.0001513,0.00093523413,0.9998818,-0.00019920617,1.0003166,4
182,-7.3771924e-05,0.9999491,-0.00010950491,0.99995303,5.7011843e-05,1.0000061,4
183,0.0065083914,0.99873626,0.0036662854,0.9939353,0.012586765,1.0077171,4
184,-7.364899e-06,1.0001245,-2.2154301e-05,1.0001428,-0.00022833794,1.0000343,4
185,0.00018344447,0.99999493,9.236485e-05,0.99996775,-0.000252001,0.99989426,4
186,-5.551055e-05,1.00012,0.00018643215,1.0000249,0.00014006346,0.99985564,4
187,-0.000101946294,0.99984795,3.2804906e-05,0.9998976,0.00034936517,0.99998504,4
188,0.00031901523,0.99970025,0.0011213906,0.9995788,0.0011752993,0.99983966,4
189,-0.00073928386,0.99995875,-0.00025392696,1.0001146,0.0008428246,1.0000638,4
190,-0.0022808276,1.0002342,-0.0019655898,1.0008641,-0.00046487898,0.9993779,4
191,0.0014922619,1.0001912,0.0012086257,1.0000938,0.0011219531,1.0016857,4
192,5.438924e-07,1.0000056,1.1261553e-05,1.000009,5.605817e-05,1.0000525,4
193,-0.00090006925,0.9999367,-0.00064926594,1.0000432,-0.00015623868,0.99998534,4
194,-0.010063697,0.99995065,-0.010404363,1.0024366,-0.0025802404,0.9995514,4
195,3.579259e-05,1.0000303,9.391457e-06,1.0000091,-1.4536083e-05,1.0000576,4
196,0.0008963458,0.9996932,-0.0020969398,0.99808043,0.0014528632,1.0014176,4
197,-3.2253563e-05,0.99998486,-4.0683895e-05,1.0000049,-3.8087368e-05,0.9999713,4
198,4.462898e-06,0.99995786,-3.087148e-05,0.9999754,-7.443875e-05,0.9999643,4
199,-0.0012257043,0.99989915,-0.0009880438,1.000087,-0.00077106804,0.9996723,4
200,-0.00432045,0.99896413,-0.0005272776,1.0002134,0.0038366467,0.9983837,5
201,-0.00055461377,0.9999128,0.000109720975,1.0003196,0.0002901256,0.9997136,5
202,0.0010044072,0.9992491,0.0010036938,0.99885046,0.00077391416,0.99950683,5
203,0.00012532994,0.9999475,0.00011168048,0.9999523,-4.749745e-05,1.0000021,5
204,-2.4031848e-05,0.99996823,1.9915402e-05,0.9999681,-0.000116720796,0.9998847,5
205,0.00015832111,1.0000931,-0.00013718754,1.0000775,-0.00036705285,1.0000595,5
206,0.00012600794,0.9998247,0.00015844405,0.9996612,0.0004523471,1.0000101,5
207,-0.0003361553,1.0000459,-0.00033294782,1.000101,-0.00010659546,0.99985844,5
208,0.0012609065,0.9997626,0.0014298968,0.9997003,0.0011737496,1.0007776,5
209,1.528114e-05,1.000011,-0.00013964996,0.9999365,-0.00013577193,0.9999848,5
210,0.0027274545,1.0007168,0.00022380799,1.0000305,-0.0040106475,1.0002848,5
211,2.4881214e-05,1.0004276,-0.00029560924,1.0005722,-0.0007972196,0.9999353,5
212,-0.0007154569,0.9998159,-0.00015671924,0.9999193,0.001092948,0.9999744,5
213,0.0042234585,0.9985216,0.0037986934,0.99734503,0.0045066476,1.0027316,5
214,0.00022899732,0.9999785,0.00033257157,1.0000813,-0.00037135184,0.99982744,5
215,3.0249357e-05,0.9999859,-5.382672e-05,0.999985,-2.5950372e-05,1.0000721,5
216,-0.00052284077,0.99902993,-0.0012541376,0.99858093,0.0013202056,1.0006909,5
217,0.0010468699,1.0007732,-0.0019933693,1.0004375,-0.0020930395,1.0013152,5
218,3.2600015e-05,0.9999977,-0.00043186545,0.9999751,-0.00094071776,0.9998642,5
219,9.2856586e-05,0.999714,-4.2241067e-05,0.99968445,-0.000108890235,0.9998378,5
220,1.6395003e-05,1.0000252,-6.210059e-05,1.0000645,-0.0003251508,0.99991095,5
221,-0.00073130056,0.9998269,0.00010485202,1.0004385,0.00040572882,0.9995273,5
222,1.642853e-06,0.99983704,4.3477863e-05,0.999693,0.0014725775,1.0005312,5
223,-0.0005209055,1.0000054,-0.0004840009,1.0000069,4.504621e-05,0.99995327,5
224,0.00010311976,1.0001168,0.0005342178,1.0001773,-0.00030293316,0.9997012,5
225,-0.0007341318,0.99983513,-6.0345978e-05,1.0001397,0.00089918077,1.0001068,5
